source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Salis Stefano,Opposizione e «vita activa» si trovano nei fiori,"La stanza è piccola; i pensieri che suscita grandi. E non è la prima volta, anzi, accade sempre. Sono frequentatore abituale del Garden Museum di Londra, defilato e apparentemente di...",https://www.ilsole24ore.com/art/opposizione-e-vita-activa-si-trovano-fiori-AF0FgCbD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/GettyImages-932658964-kHx--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T07:00:12Z,"Ascolta la versione audio dell'articolo
2' di lettura
La stanza è piccola; i pensieri che suscita grandi. E non è la prima volta, anzi, accade sempre. Sono frequentatore abituale del Garden Museum … [+1730 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Roberto Escobar,Icaro vola nei non luoghi,"Il rosso di un velo sul capo di Zelinda attraversa i settant’anni narrati da Invelle (Italia e Svizzera, 2023, 82’). La si scriva con la maiuscola o con la minuscola,...",https://www.ilsole24ore.com/art/icaro-vola-non-luoghi-AFSH0PYD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/FOTO-012-5.0.3116935064-ksqC--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T06:51:13Z,"Ascolta la versione audio dell'articolo
2' di lettura
Il rosso di un velo sul capo di Zelinda attraversa i settantanni narrati da Invelle (Italia e Svizzera, 2023, 82). La si scriva con la maiuscol… [+1946 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Lara Ricci,All’ombra del paradiso,"Tre donne determinate e disperate vivono ai margini dei resort turistici che deturpano la Giamaica in «Here comes the sun», magistrale esordio che indaga a fondo l’effetto devastante che il potere esercita sulle persone",https://www.ilsole24ore.com/art/all-ombra-paradiso-AF0H3IYD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/superJumbo-kzWC--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T06:48:32Z,"Ascolta la versione audio dell'articolo
3' di lettura
Thandi ha quindici anni e sta per annegare nel porticciolo allestuario di un fiume nel villaggio di pescatori dove è nata. Non sa nuotare, è en… [+2977 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Liti condominiali, ormai una al giorno. I torinesi si scoprono sempre più nervosi",I casi quest’anno sono stati 217: rispetto ai primi otto mesi del 2023 i vigili sono intervenuti una quarantina di volte in più,https://torino.repubblica.it/cronaca/2024/09/02/news/aumento_liti_condominiali-423474256/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/084418085-389d2303-ac17-4811-8202-9ba5b950b124.jpg,2024-09-02T06:44:24Z,"Se non capita spesso che si trovino a dover schivare pentole che volano fuori dalla porta, succede abbastanza di frequente che debbano persuadere i proprietari di cani di ogni razza a trovare un rime… [+93 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Incubo baby gang nei supermercati aperti di notte, “Bevono, rubano e sfidano i vigilantes”",Da via Madama Cristina a corso Rosselli lo stesso copione: il branco entra a notte fonda e fa razzia. Il 12 agosto fermato un capobanda diciottenne…,https://torino.repubblica.it/cronaca/2024/09/02/news/baby_gang_supermercati_h24-423474220/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/083622812-2756b48c-0ce9-4245-9caf-465a91d4c717.jpg,2024-09-02T06:37:12Z,"Baby gang allassalto dei supermercati aperti 24 ore. Entrano a notte fonda, si aggirano in branco tra le corsie, mangiano i cibi di fronte agli scaffali prima di arrivare alla cassa, oppure tentano d… [+82 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Tomas Hlavaty: “Lascio la tonaca, non la fede per far nascere mio figlio che ha una malformazione”","In Alta Langa la storia di un uomo, da sacerdote a “padre coraggio”",https://torino.repubblica.it/cronaca/2024/09/02/news/tomas_hlavaty_sacerdote_figlio_intervista-423474173/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/02/082722506-0153bd83-441e-4ef6-a64c-cf03db1504f2.jpg,2024-09-02T06:33:00Z,L'ascolto è riservato agli abbonati premium
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",,"Mistero sulla morte di Hvaldimir, la balena beluga presunta spia russa",Il mammifero marino era stato avvistato nel 2019 con una GoPro e un’imbracatura di fabbricazione russa. Disposta l’autopsia,https://www.ilsole24ore.com/art/mistero-morte-hvaldimir-balena-beluga-presunta-spia-russa-AFZl1EfD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/03/Immagini/Ritagli/a66067e71bb6888f2c18d5020db9910a-U12031624310ISw-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T06:21:28Z,"Ascolta la versione audio dell'articolo
2' di lettura
Nel fine settimana, le acque della Norvegia sud-occidentale hanno restituito il corpo senza vita di Hvaldimir, una balena beluga che, negli ult… [+3104 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",Riccardo Saporiti,In un database del Mit di Boston tutti i rischi legati all’intelligenza artificiale,"Si chiama AI Risk Repository ed è un database con oltre 700 voci che racchiude i rischi legati all'impiego dell'intelligenza artificiale. A costruirlo sono stati i ricercatori del Mit di Boston, che hanno organizzato i problemi posti dall'AI in sette domini, …",https://www.infodata.ilsole24ore.com/2024/09/02/in-un-database-del-mit-di-boston-tutti-i-rischi-legati-allintelligenza-artificiale/,https://www.infodata.ilsole24ore.com/wp-content/uploads/sites/89/2024/08/sqw.jpg,2024-09-02T05:59:08Z,"Le regole della Community
Il Sole 24 ORE incoraggia i lettori al dibattito ed al libero scambio di opinioni sugli argomenti oggetto di discussione nei nostri articoli. I commenti non devono necessar… [+1942 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Andrea Chimento,"“The Brutalist”, grande forza audiovisiva e ritmo per un film straordinario",In lizza per il Leone d’oro il terzo lungometraggio di Brady Corbet: al centro la storia di un geniale architetto ungherese interpretato da Adrien Brody,https://www.ilsole24ore.com/art/the-brutalist-grande-forza-audiovisiva-e-ritmo-un-film-straordinario-AFGdDDfD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/03/Immagini/Ritagli/The%20Brutalist-kL9G-U24618558146QVN-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T05:57:37Z,"Ascolta la versione audio dell'articolo
3' di lettura
Una visione impossibile da dimenticare: in concorso alla Mostra del Cinema di Venezia è stato presentato The Brutalist, uno di quei film che no… [+1741 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",,"Germania, l’AfD ultravince in Turingia e arriva seconda in Sassonia. Scholz: «Risultati amari»","Il partito di estrema destra supera anche liberali e verdi, ma non avrà i numeri per governare. Successo, inoltre, per i populisti di Alleanza Sahra Wagenknecht (BSW)",https://www.ilsole24ore.com/art/germania-l-afd-ultravince-turingia-e-arriva-seconda-sassonia-scholz-risultati-amari-AFMyrCfD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/03/Immagini/Ritagli/LP_22611483-U80511234837sLK-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T05:47:04Z,"Ascolta la versione audio dell'articolo
2' di lettura
Un momento storico. Nelle elezioni regionali tenutesi nellest della Germania, lAlternative für Deutschland (AfD) ha registrato una vittoria sen… [+1968 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",,"Guerra ultime notizie. Media israeliani, Netanyahu vuole pesante risposta contro Hamas","Inviato israeliano all’Onu chiede la convocazione del Consiglio sicurezza sugli ostaggi. Israele: 35 arresti e diversi feriti nelle manifestazioni. Kiev, raid russo colpisce centro per l’infanzia a Sumy, 13 feriti",https://www.ilsole24ore.com/art/guerra-ultime-notizie-media-israeliani-netanyahu-vuole-pesante-risposta-contro-hamas-AF2nJ7eD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/03/Immagini/Ritagli/0b1e0fccad810d7c2e32daaefb19f4e5-U58187664447IUZ-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-02T05:23:02Z,Il presidente russo Vladimir Putin accusa il Comitato olimpico internazionale (Cio) di agire su richiesta dellOccidente e annuncia di voler rimuovere barriere e restrizioni artificiali e ampliare la … [+710 chars]
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),"Scontri in carcere a Cuneo, detenuti lanciano olio bollente sugli agenti: due feriti","Guerra per bande, 4 ore di disordini: richiamati i poliziotti penitenziari fuori servizio. Il sindacato Osapp al ministro Nordio: “Situazione fuori controllo e personale abbandonato a se stesso, non capiamo perché nessuno intervenga”",https://torino.repubblica.it/cronaca/2024/09/01/news/scontri_in_carcere_a_cuneo_detenuti_lanciano_olio_bollente_sugli_agenti_due_feriti-423473802/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/01/210456209-77a3c665-b981-4413-aad3-ac0f47df2776.jpg,2024-09-01T19:09:06Z,Disordini fra detenuti sono avvenuti oggi nel carcere di Cuneo. Due agenti di polizia penitenziaria che sono intervenuti per riportare la calma sono stati investiti da un getto di olio rovente scagli… [+1259 chars]
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",Infodata,Quanto tempo passiamo a scrollare con il pollice la timeline di TikTok? Il caso di Ben,"Questo sito rivela, in tempo reale, quanto e se l'artista Ben Grosser sta usando TikTok. Come spiega nel suo sito:  va considerato come ultimo disperato tentativo, una sorta di confessione pubblica come strumento terapeutico volto a disinnescare l'intensa com…",https://www.infodata.ilsole24ore.com/2024/09/01/quanto-tempo-passiamo-a-scrollare-con-il-pollice-la-timeline-di-tiktok-il-caso-di-ben/,https://www.infodata.ilsole24ore.com/wp-content/uploads/sites/89/2024/08/Immagine1.png,2024-09-01T16:53:00Z,"Le regole della Community
Il Sole 24 ORE incoraggia i lettori al dibattito ed al libero scambio di opinioni sugli argomenti oggetto di discussione nei nostri articoli. I commenti non devono necessar… [+1942 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",,"L’ultradestra tedesca vola nelle elezioni regionali, Afd primo partito in Turingia","Boom dell’ultradestra tedesca nelle elezioni nell’est della Germania: secondo i primi exit poll diffusi dalla Zdf a chiusura delle urne, l’Afd vince le elezioni in Turingia con il 33,5%, mentre...",https://www.ilsole24ore.com/art/l-ultradestra-tedesca-vola-elezioni-regionali-afd-primo-partito-turingia-AFvR6leD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/02/Immagini/Ritagli/2024-09-01T161720Z_779758219_RC2SR9A4C08R_RTRMADP_5_GERMANY-ELECTION-THURINGIA-REACTIONS-U56566218744dWi-1440x752@IlSole24Ore-Web.JPG?r=1170x507,2024-09-01T16:32:44Z,"Ascolta la versione audio dell'articolo
1' di lettura
Boom dellultradestra tedesca nelle elezioni nellest della Germania: secondo i primi exit poll diffusi dalla Zdf a chiusura delle urne, lAfd vin… [+1036 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Gianluca Di Donfrancesco,"Slogan nazi, remigrazione e complotti: Höcke, l’estremista che spaventa l’Europa",Il leader di Alternative für Deutschland in Turingia è già stato condannato per aver usato parole d’ordine hitleriane,https://www.ilsole24ore.com/art/slogan-nazi-remigrazione-e-complotti-hocke-l-estremista-che-spaventa-l-europa-AFI9KrdD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/37ed9e4d8b2a172d6abd4b1b708fc679-U40723070353sId-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-01T16:31:53Z,"Ascolta la versione audio dell'articolo
3' di lettura
«Noi possiamo scrivere la storia, il 1° settembre 2024 potrebbe finire nei libri come una cesura politica. Può essere che gli storici parlerann… [+1885 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",Luca Tremolada,Chi è James? Ecco come si costruiscono gli umani digitali,"Al SIGGRAPH , Nvidia ha presentato in anteprima ""James"", un essere umano digitale interattivo in grado di connettersi con le persone tramite emozioni, umorismo e altro. James si basa su un flusso di lavoro di assistenza clienti che utilizza NVIDIA ACE , un de…",https://www.infodata.ilsole24ore.com/2024/09/01/chi-e-james-ecco-come-si-costruiscono-gli-umani-digitali/,https://www.infodata.ilsole24ore.com/wp-content/uploads/sites/89/2024/08/videoframe_7070.png,2024-09-01T12:50:13Z,"Al SIGGRAPH , Nvidia ha presentato in anteprima James, un essere umano digitale interattivo in grado di connettersi con le persone tramite emozioni, umorismo e altro. James si basa su un flusso di la… [+2332 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",,"Francia, Macron riceverà Cazeneuve all’Eliseo per conferirgli l’incarico","Secondo fonti citate dall’agenzia France Presse, sarebbe tutto pronto per l’ex ministro degli Interni e primo ministro di François Hollande",https://www.ilsole24ore.com/art/francia-macron-ricevera-cazeneuve-all-eliseo-conferirgli-l-incarico-AFEOHaeD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/02/Immagini/Ritagli/AFP_36F22W2-U88106211725ayJ-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-01T12:32:00Z,"Ascolta la versione audio dell'articolo
1' di lettura
Il presidente francese Emmanuel Macron riceverà domani - lunedì 2 settembre - allEliseo Bernard Cazeneuve allEliseo nellambito delle sue consul… [+1378 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",,"Russia, trovati i corpi di 17 vittime dell’elicottero caduto in Kamchatka",Le vittime erano a bordo dell’elicottero Mi-8 precipitato sabato nel territorio russo subito dopo il decollo. Sul posto i soccorritori del ministero per le situazioni di emergenza,https://www.ilsole24ore.com/art/russia-trovati-corpi-17-vittime-dell-elicottero-caduto-kamchatka-AFgMcaeD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/02/Immagini/Ritagli/G33LQAPW-U66623684776jYu-1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-01T12:05:34Z,"Ascolta la versione audio dell'articolo
1' di lettura
I soccorritori hanno ritrovato i corpi di 17 persone che erano a bordo dellelicottero Mi-8 precipitato sabato nel territorio russo della Kamcha… [+1157 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",Infodata,Come “giocare” con la geoingegneria solare #MathGamesAndWeirdThings,"Il pioniere dell'intelligenza artificiale Andrew Ng ha rilasciato un semplice strumento online - Planet Parasol - che permette a chiunque di armeggiare con i quadranti di un modello di geoingegneria solare, esplorando ciò che potrebbe accadere se le nazioni t…",https://www.infodata.ilsole24ore.com/2024/09/01/come-giocare-con-la-geoingegneria-solare-mathgamesandweirdthings/,https://www.infodata.ilsole24ore.com/wp-content/uploads/sites/89/2024/08/download-1.jpg,2024-09-01T10:46:53Z,"Le regole della Community
Il Sole 24 ORE incoraggia i lettori al dibattito ed al libero scambio di opinioni sugli argomenti oggetto di discussione nei nostri articoli. I commenti non devono necessar… [+1942 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",repubblicawww@repubblica.it (Redazione Repubblica.it),Arrestata la ragazza della babygang che rapinava i passanti ai Murazzi,Ha 17 anni. Ora gli investigatori cercano di risalire agli altri cinque componenti della banda,https://torino.repubblica.it/cronaca/2024/09/01/news/ragazza_babygang_rapine_murazzi-423473345/,https://www.repstatic.it/content/localirep/img/rep-torino/2024/09/01/124016776-f9c0eaf5-ec67-4374-b3de-d25a51492a65.jpg,2024-09-01T10:40:18Z,"Quella lady a capo della baby gang. Dateci i soldi e il telefono, se non volete problemi. Giravano in sei, con un bastone in pugno, pronti a colpire le coppie di ragazzi dirette ai Murazzi per trasco… [+1412 chars]"
"{'id': 'il-sole-24-ore', 'name': 'Il Sole 24 Ore'}",di Maria Luisa Colledani,L’Ital-nuoto vola grazie a formazione e reclutamento,Altre due medaglie dalla piscina e il Ct Vernole spiega le ragioni dei successi: tecnici specializzati nel paralimpico e caccia ai talenti,https://www.ilsole24ore.com/art/l-ital-nuoto-vola-grazie-formazione-e-reclutamento-AFXjvldD,https://i2.res.24o.it/images2010/S24/Documenti/2024/09/01/Immagini/Ritagli/m0igbsol7f7rta6rzsi-kbnF--1440x752@IlSole24Ore-Web.jpg?r=1170x507,2024-09-01T08:51:10Z,"Ascolta la versione audio dell'articolo
3' di lettura
Acqua azzurra, acqua vincente. I primi tre giorni di gare alla Défense hanno dato allItalia 13 medaglie, contando anche i due argenti di ieri. … [+4852 chars]"
